ImageA,ImageB,SSIM,PCC,MAE,E_dist,C_dist
image_2245_Nucleus.ome.tiff,image_2245_Nucleus.ome_fake_B.png,0.6195,0.1991,0.0674,126.3898,0.2232
image_757_Nucleus.ome.tiff,image_757_Nucleus.ome_fake_B.png,0.7981,0.6821,0.0316,35.6919,0.2145
image_2231_Nucleus.ome.tiff,image_2231_Nucleus.ome_fake_B.png,0.1846,0.6778,0.1314,156.3402,0.1533
image_1079_Nucleus.ome.tiff,image_1079_Nucleus.ome_fake_B.png,0.6212,0.2586,0.1100,76.1399,0.1994
image_1848_Nucleus.ome.tiff,image_1848_Nucleus.ome_fake_B.png,0.6751,0.1974,0.0768,121.7749,0.2614
image_119_Nucleus.ome.tiff,image_119_Nucleus.ome_fake_B.png,0.4144,0.1633,0.1522,282.0783,0.3878
image_488_Nucleus.ome.tiff,image_488_Nucleus.ome_fake_B.png,0.7202,0.3919,0.0749,61.1814,0.2493
image_2528_Nucleus.ome.tiff,image_2528_Nucleus.ome_fake_B.png,0.6273,0.2115,0.0480,239.8107,0.7096
image_1862_Nucleus.ome.tiff,image_1862_Nucleus.ome_fake_B.png,0.6281,0.4432,0.0674,115.3709,0.1521
image_253_Nucleus.ome.tiff,image_253_Nucleus.ome_fake_B.png,0.3810,0.2814,0.0973,184.6208,0.5200
image_1572_Nucleus.ome.tiff,image_1572_Nucleus.ome_fake_B.png,0.5553,-0.0508,0.0835,75.6723,0.7224
image_455_Nucleus.ome.tiff,image_455_Nucleus.ome_fake_B.png,0.7123,0.5519,0.0498,48.9688,0.2984
image_1994_Nucleus.ome.tiff,image_1994_Nucleus.ome_fake_B.png,0.5627,0.3932,0.0794,134.5501,0.1970
image_2309_Nucleus.ome.tiff,image_2309_Nucleus.ome_fake_B.png,0.7062,0.2430,0.0843,337.8147,0.5289
image_61_Nucleus.ome.tiff,image_61_Nucleus.ome_fake_B.png,0.7377,0.5111,0.0515,110.1242,0.2749
image_2559_Nucleus.ome.tiff,image_2559_Nucleus.ome_fake_B.png,0.6756,0.4584,0.0303,173.6606,0.5040
image_166_Nucleus.ome.tiff,image_166_Nucleus.ome_fake_B.png,0.5814,0.5788,0.0655,255.5182,0.3106
image_1041_Nucleus.ome.tiff,image_1041_Nucleus.ome_fake_B.png,0.7168,0.0636,0.0818,72.9952,0.3900
image_1088_Nucleus.ome.tiff,image_1088_Nucleus.ome_fake_B.png,0.6456,0.5516,0.0698,67.5219,0.3022
image_2189_Nucleus.ome.tiff,image_2189_Nucleus.ome_fake_B.png,0.6279,0.6340,0.0667,95.8369,0.1196
image_897_Nucleus.ome.tiff,image_897_Nucleus.ome_fake_B.png,0.6602,0.3735,0.0816,59.4646,0.2475
image_336_Nucleus.ome.tiff,image_336_Nucleus.ome_fake_B.png,0.4962,0.3986,0.0509,137.7402,0.5800
image_827_Nucleus.ome.tiff,image_827_Nucleus.ome_fake_B.png,0.7233,0.2978,0.0807,64.4822,0.2479
image_825_Nucleus.ome.tiff,image_825_Nucleus.ome_fake_B.png,0.7032,0.1212,0.0923,77.8451,0.2769
image_1330_Nucleus.ome.tiff,image_1330_Nucleus.ome_fake_B.png,0.1662,-0.1342,0.4937,277.5181,0.1779
image_40_Nucleus.ome.tiff,image_40_Nucleus.ome_fake_B.png,0.7017,0.1519,0.0558,261.8772,0.5736
