ImageA,ImageB,SSIM,PCC,MAE,ECD
image_2237_Nucleus.ome.tiff,image_2237_Nucleus.ome_fake_B.png,0.5976,0.3830,0.0789,131.8172
image_792_Nucleus.ome.tiff,image_792_Nucleus.ome_fake_B.png,0.6288,-0.0981,0.0806,80.5868
image_583_Nucleus.ome.tiff,image_583_Nucleus.ome_fake_B.png,0.8832,0.8069,0.0303,31.4679
image_2287_Nucleus.ome.tiff,image_2287_Nucleus.ome_fake_B.png,0.5542,0.2629,0.0910,147.7282
image_812_Nucleus.ome.tiff,image_812_Nucleus.ome_fake_B.png,0.7820,0.4393,0.0580,53.9509
image_2047_Nucleus.ome.tiff,image_2047_Nucleus.ome_fake_B.png,0.6647,0.4297,0.0618,112.1088
image_1723_Nucleus.ome.tiff,image_1723_Nucleus.ome_fake_B.png,0.4635,0.5596,0.1075,129.0233
image_1928_Nucleus.ome.tiff,image_1928_Nucleus.ome_fake_B.png,0.6413,0.3830,0.0648,126.8988
image_3_Nucleus.ome.tiff,image_3_Nucleus.ome_fake_B.png,0.7450,0.2558,0.0573,255.7999
image_936_Nucleus.ome.tiff,image_936_Nucleus.ome_fake_B.png,0.6225,0.4999,0.0696,64.3464
image_409_Nucleus.ome.tiff,image_409_Nucleus.ome_fake_B.png,0.3060,0.0995,0.2063,315.9379
image_937_Nucleus.ome.tiff,image_937_Nucleus.ome_fake_B.png,0.1481,0.1536,0.1293,77.4845
image_1056_Nucleus.ome.tiff,image_1056_Nucleus.ome_fake_B.png,0.7222,0.6624,0.0362,38.6024
image_1059_Nucleus.ome.tiff,image_1059_Nucleus.ome_fake_B.png,0.8054,0.5817,0.0554,45.6697
image_1909_Nucleus.ome.tiff,image_1909_Nucleus.ome_fake_B.png,0.6870,0.4142,0.0641,115.3821
image_574_Nucleus.ome.tiff,image_574_Nucleus.ome_fake_B.png,0.7037,0.4555,0.0626,64.9512
image_1073_Nucleus.ome.tiff,image_1073_Nucleus.ome_fake_B.png,0.5922,0.4082,0.0819,75.8030
image_1509_Nucleus.ome.tiff,image_1509_Nucleus.ome_fake_B.png,0.7572,0.1612,0.0763,68.6953
image_1841_Nucleus.ome.tiff,image_1841_Nucleus.ome_fake_B.png,0.6009,0.6998,0.0614,93.3949
image_405_Nucleus.ome.tiff,image_405_Nucleus.ome_fake_B.png,0.4802,0.2968,0.1295,212.2902
image_2285_Nucleus.ome.tiff,image_2285_Nucleus.ome_fake_B.png,0.7180,0.4217,0.0454,90.8048
